series_id,year,period,value,,item_name,area_name
APU012074714     ,2018,M01,2.691,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M02,2.739,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M03,2.671,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M04,2.811,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M05,2.976,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M06,2.996,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M07,2.958,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M08,2.961,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M09,2.966,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M10,2.944,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M11,2.766,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2018,M12,2.57,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M01,2.419,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M02,2.449,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M03,2.605,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M04,2.831,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M05,2.945,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M06,2.81,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M07,2.838,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M08,2.747,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M09,2.665,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M10,2.658,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M11,2.659,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2019,M12,2.643,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M01,2.663,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M02,2.553,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M03,2.414,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M04,2.137,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M05,2.104,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M06,2.22,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M07,2.294,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M08,2.29,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M09,2.343,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M10,2.32,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M11,2.28,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2020,M12,2.365,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M01,2.523,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M02,2.68,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M03,2.895,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M04,2.881,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M05,3.006,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M06,3.13,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M07,3.2,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M08,3.234,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M09,3.27,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M10,3.408,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
